dateTime,usoMem,memLivre,usoSwap,totalSwap
25/11/2023 21:05,1788,2860,0,4095
25/11/2023 21:05,1788,2859,0,4095
25/11/2023 21:05,1788,2859,0,4095
25/11/2023 21:05,1789,2859,0,4095
25/11/2023 21:05,1789,2858,0,4095
25/11/2023 21:05,1790,2858,0,4095
25/11/2023 21:05,1790,2857,0,4095
25/11/2023 21:05,1790,2857,0,4095
25/11/2023 21:05,1790,2857,0,4095
25/11/2023 21:05,1790,2857,0,4095
25/11/2023 21:05,1791,2856,0,4095
25/11/2023 21:05,1791,2856,0,4095
25/11/2023 21:05,1791,2856,0,4095
25/11/2023 21:05,1791,2856,0,4095
25/11/2023 21:05,1791,2856,0,4095
25/11/2023 21:05,1792,2856,0,4095
25/11/2023 21:05,1792,2855,0,4095
25/11/2023 21:05,1793,2854,0,4095
25/11/2023 21:05,1793,2854,0,4095
25/11/2023 21:05,1794,2853,0,4095
25/11/2023 21:05,1794,2853,0,4095
25/11/2023 21:05,1794,2853,0,4095
25/11/2023 21:05,1794,2853,0,4095
25/11/2023 21:05,1793,2854,0,4095
25/11/2023 21:05,1793,2854,0,4095
25/11/2023 21:05,1794,2853,0,4095
25/11/2023 21:05,1774,2873,0,4095
25/11/2023 21:05,1771,2876,0,4095
25/11/2023 21:05,1769,2878,0,4095
25/11/2023 21:05,1769,2878,0,4095
25/11/2023 21:05,1768,2879,0,4095
25/11/2023 21:05,1768,2879,0,4095
25/11/2023 21:05,1769,2878,0,4095
25/11/2023 21:05,1770,2877,0,4095
25/11/2023 21:05,1770,2877,0,4095
25/11/2023 21:05,1768,2879,0,4095
25/11/2023 21:05,1768,2879,0,4095
25/11/2023 21:05,1768,2879,0,4095
25/11/2023 21:05,1769,2879,0,4095
25/11/2023 21:05,1769,2878,0,4095
25/11/2023 21:05,1770,2878,0,4095
25/11/2023 21:05,1770,2878,0,4095
25/11/2023 21:05,1769,2878,0,4095
25/11/2023 21:05,1769,2878,0,4095
25/11/2023 21:05,1768,2879,0,4095
25/11/2023 21:05,1768,2879,0,4095
25/11/2023 21:05,1768,2879,0,4095
25/11/2023 21:05,1767,2880,0,4095
25/11/2023 21:05,1768,2879,0,4095
25/11/2023 21:05,1768,2879,0,4095
25/11/2023 21:05,1768,2879,0,4095
25/11/2023 21:05,1768,2879,0,4095
25/11/2023 21:06,1768,2879,0,4095
25/11/2023 21:06,1768,2879,0,4095
25/11/2023 21:06,1768,2879,0,4095
25/11/2023 21:06,1769,2878,0,4095
25/11/2023 21:06,1769,2878,0,4095
25/11/2023 21:06,1770,2877,0,4095
25/11/2023 21:06,1771,2877,0,4095
25/11/2023 21:06,1771,2876,0,4095
25/11/2023 21:06,1771,2876,0,4095
25/11/2023 21:06,1771,2876,0,4095
25/11/2023 21:06,1770,2877,0,4095
25/11/2023 21:06,1770,2877,0,4095
25/11/2023 21:06,1770,2877,0,4095
25/11/2023 21:06,1771,2877,0,4095
25/11/2023 21:06,1770,2877,0,4095
25/11/2023 21:06,1770,2877,0,4095
25/11/2023 21:06,1771,2877,0,4095
25/11/2023 21:06,1771,2876,0,4095
25/11/2023 21:06,1771,2876,0,4095
25/11/2023 21:06,1771,2877,0,4095
25/11/2023 21:06,1769,2878,0,4095
25/11/2023 21:06,1769,2878,0,4095
25/11/2023 21:06,1769,2879,0,4095
25/11/2023 21:06,1768,2879,0,4095
25/11/2023 21:06,1768,2879,0,4095
25/11/2023 21:06,1768,2879,0,4095
25/11/2023 21:06,1768,2879,0,4095
25/11/2023 21:06,1768,2879,0,4095
25/11/2023 21:06,1768,2879,0,4095
25/11/2023 21:06,1769,2878,0,4095
25/11/2023 21:06,1769,2878,0,4095
25/11/2023 21:06,1769,2878,0,4095
25/11/2023 21:06,1769,2878,0,4095
25/11/2023 21:06,1770,2877,0,4095
25/11/2023 21:06,1770,2877,0,4095
25/11/2023 21:06,1770,2877,0,4095
25/11/2023 21:06,1769,2878,0,4095
25/11/2023 21:06,1769,2878,0,4095
25/11/2023 21:06,1768,2879,0,4095
25/11/2023 21:06,1767,2880,0,4095
25/11/2023 21:06,1767,2880,0,4095
25/11/2023 21:06,1767,2880,0,4095
25/11/2023 21:06,1766,2881,0,4095
25/11/2023 21:06,1766,2881,0,4095
25/11/2023 21:06,1766,2881,0,4095
25/11/2023 21:06,1767,2880,0,4095
25/11/2023 21:06,1767,2879,0,4095
25/11/2023 21:06,1768,2880,0,4095
25/11/2023 21:06,1769,2879,0,4095
25/11/2023 21:06,1769,2878,0,4095
25/11/2023 21:06,1769,2878,0,4095
25/11/2023 21:06,1768,2879,0,4095
25/11/2023 21:06,1767,2880,0,4095
25/11/2023 21:06,1767,2880,0,4095
25/11/2023 21:06,1767,2880,0,4095
25/11/2023 21:06,1767,2880,0,4095
25/11/2023 21:06,1766,2880,0,4095
25/11/2023 21:06,1766,2881,0,4095
25/11/2023 21:07,1765,2882,0,4095
25/11/2023 21:07,1766,2881,0,4095
25/11/2023 21:07,1757,2891,0,4095
25/11/2023 21:07,1756,2891,0,4095
