dateTime,enp9s0,wlp6s0
26/11/2023 20:23,0,0
26/11/2023 20:23,.01,0
26/11/2023 20:23,0,0
26/11/2023 20:24,0,0
26/11/2023 20:24,0,0
26/11/2023 20:24,0,0
26/11/2023 20:24,0,0
26/11/2023 20:24,.01,0
26/11/2023 20:24,0,0
26/11/2023 20:24,0,0
26/11/2023 20:24,0,0
26/11/2023 20:24,0,0
26/11/2023 20:24,0,0
26/11/2023 20:24,0,0
26/11/2023 20:24,0,0
26/11/2023 20:25,.04,0
26/11/2023 20:25,.01,0
26/11/2023 20:25,.01,0
26/11/2023 20:25,.01,0
26/11/2023 20:25,0,0
26/11/2023 20:25,.01,0
26/11/2023 20:25,.01,0
26/11/2023 20:25,.04,0
26/11/2023 20:25,.01,0
26/11/2023 20:25,.02,0
26/11/2023 20:25,.01,0
26/11/2023 20:25,.02,0
26/11/2023 20:26,.02,0
26/11/2023 20:26,.01,0
26/11/2023 20:26,.08,0
26/11/2023 20:26,.02,0
26/11/2023 20:26,.03,0
26/11/2023 20:26,.03,0
26/11/2023 20:26,.02,0
26/11/2023 20:26,.04,0
26/11/2023 20:26,.02,0
26/11/2023 20:26,.01,0
26/11/2023 20:26,.03,0
26/11/2023 20:26,.02,0
26/11/2023 20:27,.01,0
26/11/2023 20:27,.01,0
26/11/2023 20:27,.03,0
26/11/2023 20:27,.04,0
26/11/2023 20:27,.02,0
26/11/2023 20:27,.01,0
26/11/2023 20:27,.01,0
26/11/2023 20:27,.01,0
26/11/2023 20:27,.01,0
26/11/2023 20:27,.01,0
26/11/2023 20:27,.01,0
26/11/2023 20:28,.01,0
26/11/2023 20:29,.01,0
26/11/2023 20:29,.05,0
26/11/2023 20:29,.05,0
26/11/2023 20:29,.01,0
26/11/2023 20:29,.01,0
26/11/2023 20:30,.01,0
26/11/2023 20:30,.01,0
26/11/2023 20:30,.01,0
26/11/2023 20:30,.01,0
26/11/2023 20:30,.01,0
26/11/2023 20:30,.01,0
26/11/2023 20:30,.01,0
26/11/2023 20:31,0,0
26/11/2023 20:33,.01,0
26/11/2023 20:33,.01,0
26/11/2023 20:33,.01,0
26/11/2023 20:33,.01,0
26/11/2023 20:33,.01,0
26/11/2023 20:33,.01,0
26/11/2023 20:33,.02,0
26/11/2023 20:33,.03,0
26/11/2023 20:34,2.32,0
26/11/2023 20:34,2.25,0
26/11/2023 20:34,98.71,0
26/11/2023 20:34,98.66,0
26/11/2023 20:36,0,0
26/11/2023 20:36,.01,0
26/11/2023 20:36,.01,0
26/11/2023 20:37,.01,0
26/11/2023 20:37,.01,0
26/11/2023 20:37,.02,0
26/11/2023 20:37,0,0
26/11/2023 20:37,0,0
26/11/2023 20:37,0,0
26/11/2023 20:37,.02,0
26/11/2023 20:37,0,0
26/11/2023 20:37,0,0
26/11/2023 20:37,.01,0
26/11/2023 20:37,0,0
26/11/2023 20:37,0,0
26/11/2023 20:38,0,0
26/11/2023 20:41,.02,0
26/11/2023 20:41,.04,0
26/11/2023 20:41,0,0
26/11/2023 20:41,0,0
26/11/2023 20:55,.02,0
26/11/2023 20:55,0,0
26/11/2023 20:55,0,0
26/11/2023 20:55,0,0
26/11/2023 20:55,0,0
26/11/2023 20:55,0,0
26/11/2023 20:55,.01,0
26/11/2023 20:55,0,0
26/11/2023 20:55,.01,0
26/11/2023 20:55,.04,0
26/11/2023 20:56,0,0
26/11/2023 20:56,.04,0
26/11/2023 20:56,.02,0
26/11/2023 20:56,0,0
26/11/2023 20:56,0,0
26/11/2023 20:56,0,0
26/11/2023 20:56,0,0
26/11/2023 20:56,0,0
26/11/2023 20:56,0,0
26/11/2023 20:56,0,0
26/11/2023 20:56,0,0
26/11/2023 20:56,0,0
26/11/2023 20:57,0,0
26/11/2023 20:57,0,0
26/11/2023 20:57,0,0
26/11/2023 20:57,0,0
26/11/2023 20:57,0,0
26/11/2023 20:57,0,0
26/11/2023 20:57,0,0
26/11/2023 20:57,0,0
26/11/2023 20:58,.02,0
26/11/2023 20:58,0,0
26/11/2023 20:58,0,0
26/11/2023 20:58,0,0
26/11/2023 20:58,.01,0
26/11/2023 20:58,.01,0
26/11/2023 20:58,0,0
26/11/2023 20:58,0,0
26/11/2023 20:58,0,0
26/11/2023 20:58,0,0
26/11/2023 20:58,0,0
26/11/2023 20:58,0,0
26/11/2023 20:59,0,0
26/11/2023 20:59,0,0
26/11/2023 20:59,0,0
26/11/2023 20:59,0,0
26/11/2023 20:59,0,0
26/11/2023 20:59,0,0
26/11/2023 20:59,0,0
26/11/2023 20:59,.01,0
26/11/2023 20:59,0,0
26/11/2023 20:59,.01,0
26/11/2023 20:59,.03,0
26/11/2023 20:59,0,0
26/11/2023 21:00,0,0
26/11/2023 21:00,0,0
26/11/2023 21:00,0,0
26/11/2023 21:00,.01,0
26/11/2023 21:00,0,0
26/11/2023 21:00,0,0
26/11/2023 21:00,0,0
26/11/2023 21:00,0,0
26/11/2023 21:00,.02,0
26/11/2023 21:00,0,0
26/11/2023 21:00,0,0
26/11/2023 21:01,0,0
26/11/2023 21:01,0,0
26/11/2023 21:01,0,0
26/11/2023 21:01,0,0
26/11/2023 21:01,0,0
26/11/2023 21:01,0,0
26/11/2023 21:01,0,0
26/11/2023 21:01,0,0
26/11/2023 21:01,0,0
26/11/2023 21:01,0,0
26/11/2023 21:01,0,0
26/11/2023 21:01,0,0
26/11/2023 21:02,0,0
26/11/2023 21:02,0,0
26/11/2023 21:02,0,0
26/11/2023 21:02,0,0
26/11/2023 21:02,0,0
26/11/2023 21:02,0,0
26/11/2023 21:02,0,0
26/11/2023 21:02,0,0
26/11/2023 21:02,0,0
26/11/2023 21:02,0,0
26/11/2023 21:02,0,0
26/11/2023 21:02,0,0
26/11/2023 21:03,0,0
26/11/2023 21:03,0,0
26/11/2023 21:03,0,0
26/11/2023 21:03,0,0
26/11/2023 21:03,0,0
26/11/2023 21:03,0,0
26/11/2023 21:03,0,0
26/11/2023 21:03,0,0
26/11/2023 21:03,0,0
26/11/2023 21:03,0,0
26/11/2023 21:03,0,0
26/11/2023 21:03,0,0
26/11/2023 21:04,0,0
26/11/2023 21:04,0,0
26/11/2023 21:04,0,0
26/11/2023 21:04,0,0
26/11/2023 21:04,0,0
26/11/2023 21:04,0,0
26/11/2023 21:04,0,0
26/11/2023 21:04,0,0
26/11/2023 21:04,0,0
26/11/2023 21:04,0,0
26/11/2023 21:04,0,0
26/11/2023 21:04,0,0
26/11/2023 21:05,0,0
26/11/2023 21:05,0,0
26/11/2023 21:05,0,0
26/11/2023 21:05,0,0
26/11/2023 21:05,0,0
26/11/2023 21:05,.01,0
26/11/2023 21:05,0,0
26/11/2023 21:05,0,0
26/11/2023 21:05,0,0
26/11/2023 21:05,0,0
26/11/2023 21:05,0,0
26/11/2023 21:05,0,0
26/11/2023 21:06,0,0
26/11/2023 21:06,0,0
26/11/2023 21:06,0,0
26/11/2023 21:06,0,0
26/11/2023 21:06,0,0
26/11/2023 21:06,0,0
26/11/2023 21:06,0,0
26/11/2023 21:06,0,0
26/11/2023 21:06,0,0
26/11/2023 21:06,0,0
26/11/2023 21:06,0,0
26/11/2023 21:06,0,0
26/11/2023 21:07,0,0
26/11/2023 21:07,0,0
26/11/2023 21:07,0,0
26/11/2023 21:07,0,0
26/11/2023 21:07,0,0
26/11/2023 21:07,0,0
26/11/2023 21:07,0,0
26/11/2023 21:07,0,0
26/11/2023 21:07,0,0
26/11/2023 21:07,0,0
26/11/2023 21:07,0,0
26/11/2023 21:07,0,0
26/11/2023 21:08,0,0
26/11/2023 21:08,0,0
26/11/2023 21:08,0,0
26/11/2023 21:08,0,0
26/11/2023 21:08,.14,0
26/11/2023 21:08,0,0
26/11/2023 21:08,0,0
26/11/2023 21:08,0,0
26/11/2023 21:08,0,0
26/11/2023 21:08,0,0
26/11/2023 21:08,0,0
26/11/2023 21:09,0,0
26/11/2023 21:09,0,0
26/11/2023 21:09,0,0
26/11/2023 21:09,0,0
26/11/2023 21:09,0,0
26/11/2023 21:09,0,0
26/11/2023 21:09,0,0
26/11/2023 21:09,0,0
26/11/2023 21:09,0,0
26/11/2023 21:09,0,0
26/11/2023 21:09,0,0
26/11/2023 21:09,0,0
26/11/2023 21:10,0,0
26/11/2023 21:10,0,0
26/11/2023 21:10,0,0
26/11/2023 21:10,0,0
26/11/2023 21:10,0,0
26/11/2023 21:10,0,0
26/11/2023 21:10,0,0
26/11/2023 21:10,0,0
26/11/2023 21:14,0,0
26/11/2023 21:43,0,0
26/11/2023 21:43,0,0
26/11/2023 21:47,0,0
26/11/2023 21:47,0,0
26/11/2023 21:47,0,0
26/11/2023 21:47,0,0
26/11/2023 21:47,.01,0
26/11/2023 21:47,.01,0
26/11/2023 21:48,0,0
26/11/2023 21:48,0,0
26/11/2023 21:48,.01,0
26/11/2023 21:48,0,0
26/11/2023 21:48,0,0
26/11/2023 21:48,.15,0
26/11/2023 21:48,0,0
26/11/2023 21:48,.01,0
26/11/2023 21:48,.01,0
26/11/2023 21:48,0,0
26/11/2023 21:48,0,0
26/11/2023 21:49,.04,0
26/11/2023 21:49,2.24,0
26/11/2023 21:49,2.29,0
26/11/2023 21:49,99.19,0
26/11/2023 21:49,98.70,0
26/11/2023 21:49,0,0
26/11/2023 21:49,0,0
26/11/2023 21:49,0,0
26/11/2023 21:49,0,0
26/11/2023 21:49,0,0
26/11/2023 21:49,0,0
26/11/2023 21:49,0,0
26/11/2023 21:50,0,0
26/11/2023 21:50,0,0
26/11/2023 21:50,0,0
26/11/2023 21:50,0,0
26/11/2023 21:50,0,0
26/11/2023 21:50,0,0
26/11/2023 21:50,0,0
26/11/2023 21:50,0,0
26/11/2023 21:50,0,0
26/11/2023 21:50,0,0
26/11/2023 21:51,0,0
26/11/2023 21:51,0,0
26/11/2023 21:51,0,0
26/11/2023 21:51,0,0
26/11/2023 21:51,0,0
26/11/2023 21:51,0,0
26/11/2023 21:51,0,0
26/11/2023 21:51,0,0
26/11/2023 21:51,0,0
26/11/2023 21:51,0,0
26/11/2023 21:51,0,0
26/11/2023 21:51,0,0
26/11/2023 21:52,0,0
26/11/2023 21:52,0,0
26/11/2023 21:52,0,0
26/11/2023 21:52,0,0
26/11/2023 21:52,0,0
26/11/2023 21:52,.01,0
26/11/2023 21:52,0,0
26/11/2023 21:52,0,0
26/11/2023 21:52,0,0
26/11/2023 21:52,0,0
26/11/2023 21:52,0,0
26/11/2023 21:52,0,0
26/11/2023 21:53,0,0
26/11/2023 21:53,0,0
26/11/2023 21:53,0,0
26/11/2023 21:53,.02,0
26/11/2023 21:53,0,0
26/11/2023 21:53,0,0
26/11/2023 21:53,0,0
26/11/2023 21:53,0,0
26/11/2023 21:53,0,0
26/11/2023 21:53,0,0
26/11/2023 21:53,0,0
26/11/2023 21:53,0,0
26/11/2023 21:54,0,0
26/11/2023 21:54,0,0
26/11/2023 21:54,0,0
26/11/2023 21:54,0,0
26/11/2023 21:54,0,0
26/11/2023 21:54,0,0
26/11/2023 21:54,0,0
26/11/2023 21:54,0,0
26/11/2023 21:54,0,0
26/11/2023 21:54,0,0
26/11/2023 21:54,0,0
26/11/2023 21:54,0,0
26/11/2023 21:55,0,0
26/11/2023 21:55,0,0
26/11/2023 21:55,0,0
26/11/2023 21:55,0,0
26/11/2023 21:55,0,0
26/11/2023 21:55,0,0
26/11/2023 21:55,0,0
26/11/2023 21:55,0,0
26/11/2023 21:55,0,0
26/11/2023 21:55,0,0
26/11/2023 21:55,0,0
26/11/2023 21:56,0,0
26/11/2023 21:56,0,0
26/11/2023 21:56,0,0
26/11/2023 21:56,0,0
26/11/2023 21:56,0,0
26/11/2023 21:56,0,0
26/11/2023 21:56,0,0
26/11/2023 21:56,0,0
26/11/2023 21:56,0,0
26/11/2023 21:56,0,0
26/11/2023 21:56,0,0
26/11/2023 21:56,0,0
26/11/2023 21:57,0,0
26/11/2023 21:57,0,0
26/11/2023 21:57,0,0
26/11/2023 21:57,0,0
26/11/2023 21:57,0,0
26/11/2023 21:57,0,0
26/11/2023 21:57,0,0
26/11/2023 21:57,0,0
26/11/2023 21:57,0,0
26/11/2023 21:57,0,0
26/11/2023 21:57,0,0
26/11/2023 21:57,0,0
26/11/2023 21:58,0,0
26/11/2023 21:58,0,0
26/11/2023 21:58,0,0
26/11/2023 21:58,0,0
26/11/2023 21:58,0,0
26/11/2023 21:58,.15,0
26/11/2023 21:58,0,0
