dateTime,usoCpu,frequence,temp
25/11/2023 21:07,0.0,1498.5880,53.5
25/11/2023 21:07,1.5,1420.2430,53.5
25/11/2023 21:07,1.5,1322.5576,53.5
25/11/2023 21:07,4.9,1581.8262,52.5
25/11/2023 21:07,0.0,1545.3438,53.5
25/11/2023 21:07,0.0,1551.0878,53.5
25/11/2023 21:07,1.5,1747.7162,53.5
25/11/2023 21:07,0.0,1390.2594,53.5
25/11/2023 21:07,3.2,2027.0134,53.5
25/11/2023 21:07,0.0,1363.9002,53.5
25/11/2023 21:07,3.0,1486.5826,53.5
25/11/2023 21:07,1.5,1363.0198,54.5
25/11/2023 21:07,1.5,1367.9498,53.5
25/11/2023 21:07,3.1,1908.9082,52.5
25/11/2023 21:07,0.0,1543.5604,52.5
25/11/2023 21:07,1.5,1565.6290,52.5
25/11/2023 21:07,0.0,1479.3738,53.5
25/11/2023 21:07,0.0,1398.6628,54.5
25/11/2023 21:07,1.5,1258.6002,52.5
25/11/2023 21:07,1.5,1482.2884,52.5
25/11/2023 21:07,1.5,1417.3206,53.5
25/11/2023 21:07,1.5,1516.1256,53.5
25/11/2023 21:07,1.5,1298.2122,53.5
25/11/2023 21:07,0.0,1557.0482,52.5
25/11/2023 21:07,3.2,1565.4312,52.5
25/11/2023 21:07,1.6,1650.1038,52.5
25/11/2023 21:07,1.6,1444.5712,53.5
25/11/2023 21:07,3.1,1566.3436,52.5
25/11/2023 21:07,1.6,1410.3018,52.5
25/11/2023 21:07,1.6,1639.6082,53.5
25/11/2023 21:08,3.0,1354.9038,52.5
25/11/2023 21:08,3.1,1455.6358,53.5
25/11/2023 21:08,1.5,1535.9528,53.5
25/11/2023 21:08,0.0,1314.2470,53.5
25/11/2023 21:08,1.6,1811.9808,52.5
25/11/2023 21:08,0.0,1430.4528,52.5
25/11/2023 21:08,1.5,1474.5146,52.5
25/11/2023 21:08,0.0,1547.3944,52.5
25/11/2023 21:08,3.0,1379.0306,52.5
25/11/2023 21:08,0.0,2027.7750,52.5
25/11/2023 21:08,1.5,1538.8262,52.5
25/11/2023 21:08,0.0,1435.5396,52.5
25/11/2023 21:08,1.5,1454.0392,53.5
25/11/2023 21:08,0.0,1584.3866,52.5
25/11/2023 21:08,1.5,1314.1184,52.5
25/11/2023 21:08,1.6,1515.8566,52.5
25/11/2023 21:08,1.5,1558.6990,52.5
25/11/2023 21:08,0.0,1462.9494,53.5
25/11/2023 21:08,0.0,1368.1232,53.5
25/11/2023 21:08,1.5,1364.8592,53.5
